id,customer_id,type,total_cache,credit_limit,card_number,cvv,pin,expiration_date
1,1,credit,6315.51,900,5048370570692293,698,9729,2023-12-25
2,2,debit,2127.24,1900,5048379247696595,412,4407,2024-03-10
3,3,credit,13475.5,500,5108754988098242,339,6613,2023-06-04
4,4,debit,8175.99,2000,5048379224051814,847,2525,2023-04-25
5,5,credit,863.66,1500,5108758923625902,589,6460,2025-11-04
6,6,credit,1753.22,1500,5048378071183670,986,4278,2024-04-23
7,7,credit,668.87,800,5108756643040006,849,9976,2024-09-19
8,8,credit,8712.92,730,5108750951149608,986,9069,2024-07-19
9,9,credit,11789.17,1750,5048374950190357,894,7213,2024-08-25
10,10,credit,13052.52,1000,5048379030324900,626,7912,2025-11-27
11,11,credit,9939.3,600,5108758866588430,806,8970,2023-10-23
12,12,debit,9608.65,1800,5048374220701165,509,6916,2024-10-13
13,13,debit,11156.19,1600,5048376365326252,977,4191,2025-08-14
14,14,credit,13154.51,1000,5048379297014640,278,3107,2024-03-23
15,15,credit,14365.58,350,5108757778831995,210,5352,2025-01-17
16,2,debit,12635.96,2000,5048370800652174,814,9957,2023-08-30
17,4,credit,2257.64,2400,5108751253241861,801,6183,2023-05-04
18,7,credit,10396.6,500,5048379843212417,631,5649,2023-12-29
19,10,credit,6836.8,1500,5108750173418930,323,4233,2025-06-20
20,14,debit,10318.6,1300,5048374164512818,312,8192,2025-01-25
21,3,credit,11031.6,550,5048379645754202,454,6581,2024-01-09
22,5,credit,9264.77,500,5048374622930560,360,6989,2024-02-05
23,7,debit,10905.26,1300,5108754897491470,777,8721,2025-12-02
24,6,credit,9684.71,350,5048373617258300,266,1309,2024-08-23
25,12,debit,11353.92,600,5108756713900998,854,1167,2025-01-12
