id,bank_branch_id,first_name,last_name,phone_number,experince,email,salary
1,1,Allister,Normant,616-851-8225,20,anormant0@wix.com,4500
2,2,Libbey,D'Emanuele,954-556-6925,18,ldemanuele1@amazon.co.uk,3500
3,3,Binny,Mintoff,818-357-1583,20,bmintoff2@illinois.edu,2400
4,4,Fairleigh,Michael,409-802-0803,7,fmichael3@cafepress.com,1200
5,6,Cinda,Eykelbosch,838-907-1883,8,ceykelbosch4@naver.com,1800
6,4,Urson,Folbigg,432-224-9930,9,ufolbigg5@wufoo.com,2000
7,5,Kevon,Franklin,406-148-6697,20,kfranklin6@exblog.jp,3200
8,1,Shaughn,Battleson,766-642-0333,12,sbattleson7@apache.org,2200
9,5,Trumann,Henbury,239-982-1736,3,thenbury8@dagondesign.com,1000
10,6,Forrest,Lamborn,913-196-5616,1,flamborn9@furl.net,700
11,3,Ray,Minerdo,941-164-7037,1,rminerdoa@nbcnews.com,900
12,2,Ernestus,Guterson,141-481-4467,19,egutersonb@chicagotribune.com,3600
13,1,Mollie,Bettis,688-852-8905,16,mbettisc@cnn.com,2900
14,2,Bronny,Grinyer,534-686-2993,14,bgrinyerd@xrea.com,2100
15,3,Wells,Mazzei,731-919-5307,18,wmazzeie@dmoz.org,1900
16,5,Toma,O'Sharkey,536-207-6004,11,tosharkeyf@princeton.edu,1400
17,4,Darrel,Turfes,715-220-6704,12,dturfesg@cdc.gov,1600
18,6,Lavina,Braune,427-121-5726,12,lbrauneh@slideshare.net,1300
